"ID"	"log2FC"	"pvalue"	"padj"	"lfcSE"	"stat"	"observed_expression_in_control"	"condition"
"ENSG00000231500"	-0.253777445128359	0.731587732035896	0.989959430947445	0.739845173875039	-0.343014260401491	"DOWN"	"ki"
"ENSG00000280858"	-0.261374218695444	0.730748547096147	0.989959430947445	0.759521819041056	-0.34412996722786	"DOWN"	"ki"
"ENSG00000188846"	-0.272118750755862	0.70793173779093	0.989959430947445	0.726356463847708	-0.374635271109691	"DOWN"	"ki"
"ENSG00000116251"	-0.295486647377656	0.678898388962069	0.989959430947445	0.713793028710304	-0.413966844018562	"DOWN"	"ki"
"ENSG00000148303"	-0.303907133697554	0.687066007104407	0.989959430947445	0.754411701469323	-0.402839899097074	"DOWN"	"ki"
"ENSG00000235650"	-0.306988725811286	0.642820232801521	0.989959430947445	0.661957076685232	-0.463759262682923	"DOWN"	"ki"
"ENSG00000142534"	-0.317517895736437	0.539012769213894	0.989959430947445	0.516872058695509	-0.614306558837393	"DOWN"	"ki"
"ENSG00000105640"	-0.321781118688773	0.469330176394591	0.989959430947445	0.444713596176545	-0.723569329688382	"DOWN"	"ki"
"ENSG00000174748"	-0.342665825617349	0.537471423199651	0.989959430947445	0.555697274481296	-0.616641184603979	"DOWN"	"ki"
"ENSG00000196531"	-0.347726885326268	0.65086966959433	0.989959430947445	0.7683648998685	-0.452554359765496	"DOWN"	"ki"
"ENSG00000145592"	-0.364475233402401	0.407550494954452	0.989959430947445	0.440074846850555	-0.828211918974257	"DOWN"	"ki"
"ENSG00000008988"	-0.396443834583081	0.365040039533607	0.989959430947445	0.437671058084322	-0.905803176290221	"DOWN"	"ki"
"ENSG00000156508"	-0.442411926495665	0.3163560274294	0.989959430947445	0.441540213765425	-1.00197425444628	"DOWN"	"ki"
"ENSG00000122406"	-0.452583736166145	0.508719620400491	0.989959430947445	0.684868874767641	-0.66083268321939	"DOWN"	"ki"
"ENSG00000198918"	-0.454894588067924	0.371826784816456	0.989959430947445	0.509368066629505	-0.893056745936132	"DOWN"	"ki"
"ENSG00000221983"	-0.460045239388923	0.422470838557555	0.989959430947445	0.573520967100084	-0.80214197174877	"DOWN"	"ki"
"ENSG00000197958"	-0.583729095566843	0.200825436183071	0.989959430947445	0.456322342532278	-1.27920340767788	"DOWN"	"ki"
