"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042989","GO:0042989","sequestering of actin monomers","1/2","10/17284",0.1,864.2,29.3726098339927,0.00115683826491186,0.0300777948877085,0.00121772448938091,"TMSB10",1
"GO:0030837","GO:0030837","negative regulation of actin filament polymerization","1/2","63/17284",0.0158730158730159,137.174603174603,11.648359673079,0.00727690335396125,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0032507","GO:0032507","maintenance of protein location in cell","1/2","67/17284",0.0149253731343284,128.985074626866,11.2913416937688,0.00773803180062937,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0032272","GO:0032272","negative regulation of protein polymerization","1/2","78/17284",0.0128205128205128,110.794871794872,10.4548296389726,0.00900558267108309,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0045185","GO:0045185","maintenance of protein location","1/2","94/17284",0.0106382978723404,91.936170212766,9.51021227353688,0.0108478468547397,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0030833","GO:0030833","regulation of actin filament polymerization","1/2","133/17284",0.0075187969924812,64.9774436090226,7.96774712176333,0.0153311851499205,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0031333","GO:0031333","negative regulation of protein-containing complex assembly","1/2","148/17284",0.00675675675675676,58.3918918918919,7.54317589014294,0.0170528344576194,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0008064","GO:0008064","regulation of actin polymerization or depolymerization","1/2","151/17284",0.00662251655629139,57.2317880794702,7.46588373074139,0.0173969835474882,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0030832","GO:0030832","regulation of actin filament length","1/2","154/17284",0.00649350649350649,56.1168831168831,7.39084154534534,0.0177410723801334,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","1/2","161/17284",0.0062111801242236,53.6770186335404,7.22390056261222,0.0185437119893251,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0002181","GO:0002181","cytoplasmic translation","1/2","163/17284",0.00613496932515337,53.0184049079755,7.1781715264775,0.0187729773347275,0.0380044317982828,0.00153864096349323,"RPL41",1
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","1/2","164/17284",0.00609756097560976,52.6951219512195,7.15561837200683,0.018887599964558,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0030041","GO:0030041","actin filament polymerization","1/2","165/17284",0.00606060606060606,52.3757575757576,7.1332685999865,0.0190022158991414,0.0380044317982828,0.00153864096349323,"TMSB10",1
"GO:0008154","GO:0008154","actin polymerization or depolymerization","1/2","194/17284",0.00515463917525773,44.5463917525773,6.56159727026637,0.0223231655695901,0.0408743628451394,0.0016548325038518,"TMSB10",1
"GO:0032271","GO:0032271","regulation of protein polymerization","1/2","205/17284",0.0048780487804878,42.1560975609756,6.37686850591459,0.0235813631798881,0.0408743628451394,0.0016548325038518,"TMSB10",1
"GO:0051651","GO:0051651","maintenance of location in cell","1/2","220/17284",0.00454545454545455,39.2818181818182,6.1473938436823,0.0252957816207513,0.0411056451337209,0.00166419615925995,"TMSB10",1
"GO:0110053","GO:0110053","regulation of actin filament organization","1/2","264/17284",0.00378787878787879,32.7348484848485,5.58967010460799,0.0303160519499216,0.0463657265116448,0.00187715491949979,"TMSB10",1
"GO:0051258","GO:0051258","protein polymerization","1/2","291/17284",0.00343642611683849,29.6975945017182,5.31110054157918,0.0333902549848692,0.0480938778888436,0.00194712056230136,"TMSB10",1
"GO:0051235","GO:0051235","maintenance of location","1/2","337/17284",0.0029673590504451,25.6439169139466,4.91479982376902,0.0386165447616166,0.0480938778888436,0.00194712056230136,"TMSB10",1
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","1/2","341/17284",0.00293255131964809,25.3431085043988,4.88411219050633,0.0390703352174965,0.0480938778888436,0.00194712056230136,"TMSB10",1
"GO:0032535","GO:0032535","regulation of cellular component size","1/2","359/17284",0.00278551532033426,24.0724233983287,4.75229794397799,0.0411110666100355,0.0480938778888436,0.00194712056230136,"TMSB10",1
"GO:0010639","GO:0010639","negative regulation of organelle organization","1/2","364/17284",0.00274725274725275,23.7417582417582,4.71739359765336,0.04167755146459,0.0480938778888436,0.00194712056230136,"TMSB10",1
"GO:0032970","GO:0032970","regulation of actin filament-based process","1/2","383/17284",0.00261096605744125,22.5639686684073,4.5909169947989,0.0438286673955647,0.0480938778888436,0.00194712056230136,"TMSB10",1
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","1/2","388/17284",0.00257731958762887,22.2731958762887,4.55915349178691,0.044394348820471,0.0480938778888436,0.00194712056230136,"TMSB10",1
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","1/2","428/17284",0.00233644859813084,20.1915887850467,4.32497015708092,0.048913774497357,0.0508703254772513,0.00205952734725714,"TMSB10",1
"GO:0007015","GO:0007015","actin filament organization","1/2","455/17284",0.0021978021978022,18.9934065934066,4.18424879038527,0.0519583309782803,0.0519583309782803,0.00210357615296681,"TMSB10",1
